test_number,dwell_mean,dwell_std,dwell_median,dwell_q25,dwell_q75,dwell_skew,dwell_kurtosis,flight_mean,flight_std,flight_median,flight_q25,flight_q75,flight_skew,flight_kurtosis,typing_speed,total_typing_time,keystroke_count,rhythm_consistency,timing_variance,rhythm_entropy,temporal_regularity,dwell_flight_ratio,dwell_consistency,flight_consistency,traj_mean,traj_std,traj_median,traj_total,traj_max,traj_min,velocity_mean,velocity_std,velocity_max,velocity_median,accel_mean,accel_std,accel_max,movement_count,direction_changes,avg_direction_changes,velocity_traj_ratio,accel_velocity_ratio,user_id,data_type,fraud_label,data_source
1,0.08641369067705594,0.016219650075812185,0.08710765838623047,0.07520091533660889,0.09920567274093628,-0.04962020780336874,-0.9403189558536194,0.06800640845785336,0.08942558103829713,0.037766218185424805,0.0,0.08739805221557617,1.7908975305331338,2.84147036678623,3.35751906566277,16.976820945739746,57,1.4655169961422396,0.19738693416786182,1.1470944314500129,0.06485595214231353,1.2706698182805876,0.18769768921985142,1.314958147837235,371.4654623683067,157.6680837842205,371.4654623683067,742.9309247366134,529.1335461525272,213.79737858408618,327.69953132285053,310.9587642495604,1532.8487739130092,233.68616405561573,-851.81176287672,14567.014510360981,33258.75662593541,2,7,3.5,0.8821803492404836,-2.599368267138327,0001,true_data,0,raw
2,0.08543229103088379,0.013853253410342579,0.08737850189208984,0.07537174224853516,0.09882283210754395,-0.23136861508419926,-0.6655428218443271,0.04619485423678443,0.048041321344973846,0.038024306297302246,0.0,0.06491667032241821,1.1000845526088612,0.5762173453268025,3.4687699109799035,14.414331674575806,50,1.5720583385723585,0.21386227345013908,0.7673232442649731,0.18011621618429338,1.8493897738691214,0.16215476872929874,1.0399712702788868,368.785689772207,134.34198840877454,368.785689772207,737.571379544414,503.1276781809815,234.4437013634324,546.4300169878717,447.68492879956483,1732.562035017733,420.49582080455104,-956.7257609568817,29667.101856470028,83049.99999573185,2,4,2.0,1.4817007062432188,-1.7508660417864943,0001,true_data,0,raw
3,0.0873459360816262,0.01701648970775227,0.08780217170715332,0.07502436637878418,0.09941589832305908,-0.27250281740351157,-0.3873245507414045,0.047100228071212766,0.055142721933731854,0.03109419345855713,0.0,0.06387823820114136,1.5722907004873632,2.440654594833698,2.560722203670893,19.525741577148438,50,1.8349319070620564,0.5346416882763454,0.7459661771725427,0.11230144279210096,1.8544694932169818,0.19481718843070572,1.170752755873794,503.4305012050166,218.98404801630207,487.8910281502173,1510.2915036150498,779.0619810092296,243.33849445560278,491.9457439685388,432.67320633430523,1884.2357019194387,396.26271032672673,-3674.093405300576,34732.927004795136,96315.3967399177,3,11,3.6666666666666665,0.977187005537035,-7.468493122151177,0001,true_data,0,raw
4,0.0877529411781125,0.015965658866107575,0.08910202980041504,0.07534599304199219,0.0994870662689209,-0.524898260487419,-0.5384095918684224,0.05132470259795318,0.06609362299823514,0.03671717643737793,0.0,0.0762319564819336,1.9328291918856733,4.764757288827318,3.403856937974237,12.926512718200684,44,1.4521245443769906,0.19056080421059152,0.8659462571414388,0.16209086299623063,1.70976034416636,0.1819387320079465,1.2877546195873228,372.3464122649221,168.98080917961016,372.3464122649221,744.6928245298442,541.3272214445323,203.36560308531193,403.9398010101022,378.03023835697894,1587.121896715951,263.12398506496737,-2716.350838417432,24430.790133610313,56493.29066178889,2,5,2.5,1.0848494512220561,-6.7246427106832645,0001,true_data,0,raw
5,0.08229728539784749,0.017404173892063723,0.08522284030914307,0.06579619646072388,0.09604912996292114,0.1898773326772059,-0.36749248984791905,0.046684645317696234,0.05812803592307369,0.025249958038330078,0.0,0.07552862167358398,1.6320221318508075,3.244231424165684,3.2472559467142124,13.85785436630249,45,1.59725192283451,0.2530658088067961,0.8207129025378099,0.20352722179530264,1.7628341146816418,0.21147931899307829,1.2451210757410986,414.9665961564618,156.8902037497108,414.9665961564618,829.9331923129236,571.8567999061726,258.076392406751,640.8683710772445,485.09004528954443,2092.4654629465413,553.9682089777542,-3528.8692882590362,39229.228015555156,83370.89401668818,2,5,2.5,1.5443854445469805,-5.506387032843127,0001,true_data,0,raw
6,0.08386732310783572,0.01489817877989371,0.08680534362792969,0.07442474365234375,0.0890660285949707,-0.06640089757799672,-0.4710463146751813,0.06224260065290663,0.07601815105804571,0.032064080238342285,0.0,0.10578423738479614,1.5601630100385593,2.347798009519601,3.111515647894522,14.141018390655518,44,1.3741442679415836,0.2042156986300669,1.2453890038593833,0.17269962541136757,1.3474263965209052,0.17763985077923383,1.221320287688907,476.39460383457833,151.92055187592203,476.39460383457833,952.7892076691567,628.3151557105003,324.4740519586563,571.123748110608,564.4701161875091,2248.152939074504,383.721296177703,1214.1825950683547,36557.16743983316,85966.73116802625,2,4,2.0,1.1988459640674751,2.1259536117787334,0001,true_data,0,raw
7,0.08617067337036133,0.013198144996662218,0.08717989921569824,0.07523822784423828,0.09872221946716309,-0.09308876970224701,-0.7852741569769925,0.05602704154120551,0.056296126662386765,0.044829368591308594,0.0,0.07718658447265625,1.225261589805911,1.522126329590903,3.464110520469716,12.70167326927185,44,1.3343200598622096,0.15534775929080522,1.0721701508885686,0.20970277908415624,1.5380193385186411,0.1531628391090823,1.0048027704711675,371.5546621271273,150.81706987226562,283.84692578842856,1114.6639863813818,583.7807298635066,247.03633072944677,565.7477737725014,476.96809619956827,1958.3915484011627,441.16264420547844,-393.99472223598417,34693.14427641043,91188.47629745159,3,4,1.3333333333333333,1.5226501816277331,-0.6964140921116861,0001,true_data,0,raw
8,0.08699706196784973,0.01489478269475341,0.0865476131439209,0.07596677541732788,0.09928721189498901,-0.2420268198024667,-0.17735447269060334,0.0480228066444397,0.05551880483894469,0.03777873516082764,0.0,0.07626903057098389,1.061244269137154,0.4724193550790283,3.333049350402686,13.201124668121338,44,1.4035295468498006,0.18566415849298223,1.0661515739091456,0.19597249471512534,1.8115780406583681,0.1712101804442183,1.1560924611174026,294.5320056761399,106.17130194785129,294.5320056761399,589.0640113522797,400.7033076239912,188.3607037282886,508.2614829474338,405.8779978124593,1708.376972571883,413.5235180369422,-1680.7229271802782,30850.68034299297,73363.39992615147,2,2,1.0,1.7256579018658693,-3.3068075854060033,0001,true_data,0,raw
9,0.08531279821653624,0.01676822244440914,0.08656477928161621,0.07528018951416016,0.0982823371887207,-0.15862869617718015,-0.06372342610875359,0.04561403819492885,0.05179043901544944,0.024857282638549805,0.0,0.08204376697540283,0.8318922257847641,-0.5884162884844386,3.253303175132038,12.909955739974976,42,1.5760723910004097,0.24628281910455246,0.8140228715038248,0.18701981197137568,1.8703189104186988,0.1965499054689775,1.1354056985830883,387.1469069925939,30.72314622867853,387.1469069925939,774.2938139851879,417.8700532212724,356.42376076391537,833.7987228279358,648.8602314716119,2683.065465081236,734.8654276868476,-3115.2501657533617,45468.05753169521,80271.16946351435,2,2,1.0,2.1537011087212075,-3.7362136454078385,0001,true_data,0,raw
10,0.08758866496202422,0.015151157459731956,0.08707880973815918,0.07485365867614746,0.09959173202514648,-0.16529151303076303,0.12152461477205634,0.04526245594024658,0.053577883935265906,0.025403976440429688,0.0,0.06347388029098511,1.0606613007502879,0.01517197393422931,3.512076311872497,12.528201580047607,44,1.3814799051628146,0.16200547751178487,1.1912245419531258,0.24041646880735196,1.9351284224977707,0.17298080121443749,1.1837157905798437,299.5002506054686,88.19860107174594,299.5002506054686,599.0005012109372,387.6988516772145,211.30164953372264,548.2215121968072,439.8913594934235,1684.4194127740845,422.94897642566684,462.83061221838136,38300.67524154981,104168.8839770589,2,5,2.5,1.830454268697688,0.8442401509633369,0001,true_data,0,raw
